Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
WaveWatchIII,0,Hawaii,21.76 N,157.9 W,0,-10,0,-,s,deg,s,deg,s,W/m,s,m,-,0,v1.10
wave height,wave period,Year,Month,Day,Hour,Minute,,,,,,,,,,,,,
2.06,16.2,2019,2,6,6,0,,,,,,,,,,,,,
2.125,15.68,2019,2,6,9,0,,,,,,,,,,,,,
2.18,15.31,2019,2,6,12,0,,,,,,,,,,,,,
2.205,15.095,2019,2,6,15,0,,,,,,,,,,,,,
2.21,14.94,2019,2,6,18,0,,,,,,,,,,,,,
2.21,14.81,2019,2,6,21,0,,,,,,,,,,,,,
2.205,14.68,2019,2,7,0,0,,,,,,,,,,,,,
2.2,14.58,2019,2,7,3,0,,,,,,,,,,,,,
2.19,14.47,2019,2,7,6,0,,,,,,,,,,,,,
2.18,14.365,2019,2,7,9,0,,,,,,,,,,,,,
2.18,14.225,2019,2,7,12,0,,,,,,,,,,,,,
2.185,14.02,2019,2,7,15,0,,,,,,,,,,,,,
2.19,13.73,2019,2,7,18,0,,,,,,,,,,,,,
2.195,13.515,2019,2,7,21,0,,,,,,,,,,,,,
2.205,13.39,2019,2,8,0,0,,,,,,,,,,,,,
2.185,13.31,2019,2,8,3,0,,,,,,,,,,,,,
2.175,13.185,2019,2,8,6,0,,,,,,,,,,,,,
2.165,12.95,2019,2,8,9,0,,,,,,,,,,,,,
2.15,12.705,2019,2,8,12,0,,,,,,,,,,,,,
2.135,12.595,2019,2,8,15,0,,,,,,,,,,,,,
2.12,12.53,2019,2,8,18,0,,,,,,,,,,,,,
2.105,12.475,2019,2,8,21,0,,,,,,,,,,,,,
2.095,12.4,2019,2,9,0,0,,,,,,,,,,,,,
2.09,12.26,2019,2,9,3,0,,,,,,,,,,,,,
2.075,12.075,2019,2,9,6,0,,,,,,,,,,,,,
2.065,11.95,2019,2,9,9,0,,,,,,,,,,,,,
